! pyMGMR3D ice profile  model=1: Constant bulk ice
! depth[m]  density[g/cm3]  xi=n-1  X_cumul_vertical[g/cm2]
     0.000      0.917000      0.788620          0.0000
     5.000      0.917000      0.788620        458.5000
    10.000      0.917000      0.788620        917.0000
    15.000      0.917000      0.788620       1375.5000
    20.000      0.917000      0.788620       1834.0000
    25.000      0.917000      0.788620       2292.5000
    30.000      0.917000      0.788620       2751.0000
    35.000      0.917000      0.788620       3209.5000
    40.000      0.917000      0.788620       3668.0000
    45.000      0.917000      0.788620       4126.5000
    50.000      0.917000      0.788620       4585.0000
    55.000      0.917000      0.788620       5043.5000
    60.000      0.917000      0.788620       5502.0000
    65.000      0.917000      0.788620       5960.5000
    70.000      0.917000      0.788620       6419.0000
    75.000      0.917000      0.788620       6877.5000
    80.000      0.917000      0.788620       7336.0000
    85.000      0.917000      0.788620       7794.5000
    90.000      0.917000      0.788620       8253.0000
    95.000      0.917000      0.788620       8711.5000
   100.000      0.917000      0.788620       9170.0000
   105.000      0.917000      0.788620       9628.5000
   110.000      0.917000      0.788620      10087.0000
   115.000      0.917000      0.788620      10545.5000
   120.000      0.917000      0.788620      11004.0000
   125.000      0.917000      0.788620      11462.5000
   130.000      0.917000      0.788620      11921.0000
   135.000      0.917000      0.788620      12379.5000
   140.000      0.917000      0.788620      12838.0000
   145.000      0.917000      0.788620      13296.5000
   150.000      0.917000      0.788620      13755.0000
   155.000      0.917000      0.788620      14213.5000
   160.000      0.917000      0.788620      14672.0000
   165.000      0.917000      0.788620      15130.5000
   170.000      0.917000      0.788620      15589.0000
   175.000      0.917000      0.788620      16047.5000
   180.000      0.917000      0.788620      16506.0000
   185.000      0.917000      0.788620      16964.5000
   190.000      0.917000      0.788620      17423.0000
   195.000      0.917000      0.788620      17881.5000
   200.000      0.917000      0.788620      18340.0000
   205.000      0.917000      0.788620      18798.5000
   210.000      0.917000      0.788620      19257.0000
   215.000      0.917000      0.788620      19715.5000
   220.000      0.917000      0.788620      20174.0000
   225.000      0.917000      0.788620      20632.5000
   230.000      0.917000      0.788620      21091.0000
   235.000      0.917000      0.788620      21549.5000
   240.000      0.917000      0.788620      22008.0000
   245.000      0.917000      0.788620      22466.5000
   250.000      0.917000      0.788620      22925.0000
   255.000      0.917000      0.788620      23383.5000
   260.000      0.917000      0.788620      23842.0000
   265.000      0.917000      0.788620      24300.5000
   270.000      0.917000      0.788620      24759.0000
   275.000      0.917000      0.788620      25217.5000
   280.000      0.917000      0.788620      25676.0000
   285.000      0.917000      0.788620      26134.5000
   290.000      0.917000      0.788620      26593.0000
   295.000      0.917000      0.788620      27051.5000
   300.000      0.917000      0.788620      27510.0000
   305.000      0.917000      0.788620      27968.5000
   310.000      0.917000      0.788620      28427.0000
   315.000      0.917000      0.788620      28885.5000
   320.000      0.917000      0.788620      29344.0000
   325.000      0.917000      0.788620      29802.5000
   330.000      0.917000      0.788620      30261.0000
   335.000      0.917000      0.788620      30719.5000
   340.000      0.917000      0.788620      31178.0000
   345.000      0.917000      0.788620      31636.5000
   350.000      0.917000      0.788620      32095.0000
   355.000      0.917000      0.788620      32553.5000
   360.000      0.917000      0.788620      33012.0000
   365.000      0.917000      0.788620      33470.5000
   370.000      0.917000      0.788620      33929.0000
   375.000      0.917000      0.788620      34387.5000
   380.000      0.917000      0.788620      34846.0000
   385.000      0.917000      0.788620      35304.5000
   390.000      0.917000      0.788620      35763.0000
   395.000      0.917000      0.788620      36221.5000
   400.000      0.917000      0.788620      36680.0000
   405.000      0.917000      0.788620      37138.5000
   410.000      0.917000      0.788620      37597.0000
   415.000      0.917000      0.788620      38055.5000
   420.000      0.917000      0.788620      38514.0000
   425.000      0.917000      0.788620      38972.5000
   430.000      0.917000      0.788620      39431.0000
   435.000      0.917000      0.788620      39889.5000
   440.000      0.917000      0.788620      40348.0000
   445.000      0.917000      0.788620      40806.5000
   450.000      0.917000      0.788620      41265.0000
   455.000      0.917000      0.788620      41723.5000
   460.000      0.917000      0.788620      42182.0000
   465.000      0.917000      0.788620      42640.5000
   470.000      0.917000      0.788620      43099.0000
   475.000      0.917000      0.788620      43557.5000
   480.000      0.917000      0.788620      44016.0000
   485.000      0.917000      0.788620      44474.5000
   490.000      0.917000      0.788620      44933.0000
   495.000      0.917000      0.788620      45391.5000
   500.000      0.917000      0.788620      45850.0000
